NumThreads,NumLockAcquires,NumWakeUps
1,1000000,1000000
2,1000000,1445622
3,1000000,1697098
4,1000000,2383730
5,1000000,2405830
6,1000000,3226109
7,1000000,2742578
8,1000000,3600024
9,1000000,3882095
10,1000000,3102120
11,1000000,3603672
12,1000000,3646433
13,1000000,4039908
14,1000000,4073518
15,1000000,3943153
16,1000000,3451855
17,1000000,4395408
18,1000000,3820635
19,1000000,3990699
20,1000000,1862811
